meal_id,observations,price_points,elasticity,elasticity_band
2956,3319,128,-4.314799825542193,elastic
1571,4511,158,-3.9678279848163873,elastic
2444,9097,523,-3.829007109980157,elastic
1445,9727,566,-3.392799032519625,elastic
1543,10236,402,-3.1594042909334745,elastic
2867,8092,452,-3.0624084213160176,elastic
2304,9676,377,-2.752401680865074,elastic
1847,4084,122,-2.7012069307014888,elastic
1878,10527,221,-2.670213124530162,elastic
1971,11102,481,-2.626093961201021,elastic
2104,2357,100,-2.6136405873888826,elastic
1558,10952,580,-2.351996837010901,elastic
1438,4385,144,-2.2819835571023472,elastic
1109,11134,646,-2.23825568275089,elastic
1803,4674,386,-2.216991966055321,elastic
1311,4682,366,-2.1877336473485567,elastic
1198,4206,341,-2.1298222527351376,elastic
2760,10209,268,-2.063863869634292,elastic
2494,4206,120,-2.025189135523434,elastic
1754,11132,545,-1.9858620503039797,elastic
1770,6682,84,-1.8980694331064534,elastic
2569,9459,364,-1.8939142943523015,elastic
2640,10747,219,-1.889070325205174,elastic
1902,6748,89,-1.8889023796766278,elastic
1216,9695,330,-1.8303029080809508,elastic
1230,10746,666,-1.7342122983560213,elastic
1207,10806,658,-1.5398780106123853,elastic
2581,11072,617,-1.5253403410272885,elastic
2306,8294,388,-1.3493278757365292,elastic
2290,11138,495,-1.2304605720726822,elastic
2664,9853,350,-1.142724285668844,elastic
2631,10458,360,-1.12532226305831,elastic
2126,9705,358,-1.0574880246323912,elastic
2492,9382,327,-1.0204993824779536,elastic
2139,8899,311,-0.9124855912394986,inelastic
2322,11002,685,-0.9069403919043062,inelastic
2704,9811,256,-0.8669954342447429,inelastic
1248,9939,352,-0.8512857460129956,inelastic
2577,8667,168,-0.81978821455365,inelastic
1247,7184,91,-0.7861281083163387,inelastic
1962,11114,650,-0.4235137199944443,inelastic
1525,9359,246,-0.3478628561288168,inelastic
2490,9247,419,-0.3136996244888653,inelastic
1062,11137,163,0.36502743069346644,positive / investigate
2707,11123,253,0.5941384453409486,positive / investigate
2826,11057,460,1.3172128257439404,positive / investigate
1778,11121,188,1.4787612675938422,positive / investigate
1993,11116,214,1.571588914116807,positive / investigate
1885,11092,213,2.2848871712858063,positive / investigate
2539,10451,236,2.5623379022252615,positive / investigate
1727,11136,626,2.9483518800434076,positive / investigate
